country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Afghanistan,AF,AFG,4,Egg and/or flesh foods consumption (6-23months),2015,30.7,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Afghanistan,AF,AFG,4,Egg and/or flesh foods consumption (6-23months),2022,23.7,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Afghanistan,AF,AFG,4,Egg and/or flesh foods consumption (6-23months),2015,29.9,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Afghanistan,AF,AFG,4,Egg and/or flesh foods consumption (6-23months),2022,24.7,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Afghanistan,AF,AFG,4,Egg and/or flesh foods consumption (6-23months),2015,30.3,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Afghanistan,AF,AFG,4,Egg and/or flesh foods consumption (6-23months),2022,24.2,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Albania,AL,ALB,8,Egg and/or flesh foods consumption (6-23months),2009,73.6,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Albania,AL,ALB,8,Egg and/or flesh foods consumption (6-23months),2017,68.4,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Albania,AL,ALB,8,Egg and/or flesh foods consumption (6-23months),2009,79.0,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Albania,AL,ALB,8,Egg and/or flesh foods consumption (6-23months),2017,68.5,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Albania,AL,ALB,8,Egg and/or flesh foods consumption (6-23months),2009,76.6,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Albania,AL,ALB,8,Egg and/or flesh foods consumption (6-23months),2017,68.5,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Algeria,DZ,DZA,12,Egg and/or flesh foods consumption (6-23months),2019,53.6,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Algeria,DZ,DZA,12,Egg and/or flesh foods consumption (6-23months),2019,52.2,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Algeria,DZ,DZA,12,Egg and/or flesh foods consumption (6-23months),2019,52.9,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Angola,AO,AGO,24,Egg and/or flesh foods consumption (6-23months),2015,63.3,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Angola,AO,AGO,24,Egg and/or flesh foods consumption (6-23months),2015,58.7,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Angola,AO,AGO,24,Egg and/or flesh foods consumption (6-23months),2015,61.0,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Armenia,AM,ARM,51,Egg and/or flesh foods consumption (6-23months),2005,70.8,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Armenia,AM,ARM,51,Egg and/or flesh foods consumption (6-23months),2010,69.2,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Armenia,AM,ARM,51,Egg and/or flesh foods consumption (6-23months),2016,52.9,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Armenia,AM,ARM,51,Egg and/or flesh foods consumption (6-23months),2005,64.5,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Armenia,AM,ARM,51,Egg and/or flesh foods consumption (6-23months),2010,66.4,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
